"tam_talo" "nutrição" "tipo_talo"
"Euglena_viridis" "nano" "mixotrofico" "unicelular"
"Trachelomonas_armata" "nano" "mixotrofico" "unicelular"
"Phacus_tortus" "nano" "mixotrofico" "unicelular"
"Anabaena_cylindrica" "pico" "autotrofico" "filamentosa"
"Ankistrodesmus_densus" "nano" "autotrofico" "colonial"
"Desmodesmus_communis" "nano" "autotrofico" "colonial"
"Microcystis_aeruginosa" "pico" "autotrofico" "colonial"
"Selenastrum_bibraianum" "nano" "autotrofico" "colonial"
"Pediastrum_duplex" "nano" "autotrofico" "unicelular"
"Selenastrum_minutum" "nano" "autotrofico" "colonial"
"Pediastrum_tetras" "nano" "autotrofico" "unicelular"
"Pediastrum_simplex" "nano" "autotrofico" "unicelular"
"Euglena_gracilis" "nano" "mixotrofico" "unicelular"
"Synura_uvella" "nano" "autotrofico" "colonial"
"Synechococcus_elongatus" "pico" "autotrofico" "unicelular"
